P,T,VL,VV,UL,UV,HL,HV,SL,SV
0.0006117,0.01,0.001,206,-0.0006118,2375,0,2501,0,9.156
0.0006571,1,0.001,192.4,4.179,2376,4.18,2503,0.01526,9.129
0.000706,2,0.001,179.8,8.389,2378,8.39,2505,0.03061,9.103
0.0007581,3,0.001,168,12.6,2379,12.6,2506,0.04589,9.077
0.0008135,4,0.001,157.1,16.81,2380,16.81,2508,0.0611,9.051
0.0008726,5,0.001,147,21.02,2382,21.02,2510,0.07625,9.025
0.0009354,6,0.001,137.6,25.22,2383,25.22,2512,0.09134,8.999
0.001002,7,0.001,128.9,29.43,2385,29.43,2514,0.1064,8.974
0.001073,8,0.001,120.8,33.63,2386,33.63,2516,0.1213,8.949
0.001148,9,0.001,113.3,37.82,2387,37.82,2517,0.1362,8.924
0.001228,10,0.001,106.3,42.02,2389,42.02,2519,0.1511,8.9
0.001313,11,0.001,99.79,46.22,2390,46.22,2521,0.1659,8.875
0.001403,12,0.001001,93.72,50.41,2391,50.41,2523,0.1806,8.851
0.001498,13,0.001001,88.06,54.6,2393,54.6,2525,0.1953,8.827
0.001599,14,0.001001,82.79,58.79,2394,58.79,2527,0.2099,8.804
0.001706,15,0.001001,77.88,62.98,2395,62.98,2528,0.2245,8.78
0.001819,16,0.001001,73.29,67.17,2397,67.17,2530,0.239,8.757
0.001938,17,0.001001,69,71.36,2398,71.36,2532,0.2534,8.734
0.002065,18,0.001001,65,75.54,2400,75.54,2534,0.2678,8.711
0.002198,19,0.001002,61.26,79.73,2401,79.73,2536,0.2822,8.688
0.002339,20,0.001002,57.76,83.91,2402,83.91,2537,0.2965,8.666
0.002488,21,0.001002,54.48,88.1,2404,88.1,2539,0.3107,8.644
0.002645,22,0.001002,51.42,92.28,2405,92.28,2541,0.3249,8.622
0.002811,23,0.001003,48.55,96.46,2406,96.46,2543,0.3391,8.6
0.002986,24,0.001003,45.86,100.6,2408,100.7,2545,0.3532,8.578
0.00317,25,0.001003,43.34,104.8,2409,104.8,2547,0.3672,8.557
0.003364,26,0.001003,40.97,109,2410,109,2548,0.3812,8.535
0.003568,27,0.001004,38.75,113.2,2412,113.2,2550,0.3952,8.514
0.003783,28,0.001004,36.67,117.4,2413,117.4,2552,0.4091,8.493
0.004009,29,0.001004,34.72,121.5,2415,121.6,2554,0.4229,8.473
0.004247,30,0.001004,32.88,125.7,2416,125.7,2556,0.4368,8.452
0.004497,31,0.001005,31.15,129.9,2417,129.9,2557,0.4505,8.432
0.00476,32,0.001005,29.53,134.1,2419,134.1,2559,0.4642,8.411
0.005035,33,0.001005,28,138.3,2420,138.3,2561,0.4779,8.391
0.005325,34,0.001006,26.56,142.4,2421,142.5,2563,0.4916,8.371
0.005629,35,0.001006,25.21,146.6,2423,146.6,2565,0.5051,8.352
0.005948,36,0.001006,23.93,150.8,2424,150.8,2566,0.5187,8.332
0.006282,37,0.001007,22.73,155,2425,155,2568,0.5322,8.313
0.006633,38,0.001007,21.59,159.2,2427,159.2,2570,0.5456,8.294
0.007,39,0.001008,20.52,163.3,2428,163.4,2572,0.559,8.275
0.007385,40,0.001008,19.52,167.5,2429,167.5,2574,0.5724,8.256
0.007788,41,0.001008,18.56,171.7,2431,171.7,2575,0.5857,8.237
0.00821,42,0.001009,17.66,175.9,2432,175.9,2577,0.599,8.218
0.008651,43,0.001009,16.81,180.1,2433,180.1,2579,0.6123,8.2
0.009112,44,0.00101,16.01,184.2,2435,184.3,2581,0.6255,8.182
0.009595,45,0.00101,15.25,188.4,2436,188.4,2582,0.6386,8.163
0.0101,46,0.00101,14.53,192.6,2437,192.6,2584,0.6517,8.145
0.01063,47,0.001011,13.86,196.8,2439,196.8,2586,0.6648,8.128
0.01118,48,0.001011,13.21,201,2440,201,2588,0.6779,8.11
