"T (°C)","P (MPa)","VL (m3/kg)","VV (m3/kg)","UL (kJ/kg)","UV (kJ/kg)","DUvap (kJ/kg)","HL (kJ/kg)","HV (kJ/kg)"," DHvap (kJ/kg)","SL [kJ/(kg K)]","SV [kJ/(kg K)]"," DSvap [kJ/(kg K)]"
0.01,0.0006117,0.001,206,-0.0006118,2375,2375,0,2501,2501,0,9.156,9.156
1,0.0006571,0.001,192.4,4.179,2376,2372,4.18,2503,2499,0.01526,9.129,9.114
2,0.000706,0.001,179.8,8.389,2378,2369,8.39,2505,2496,0.03061,9.103,9.072
3,0.0007581,0.001,168,12.6,2379,2366,12.6,2506,2494,0.04589,9.077,9.031
4,0.0008135,0.001,157.1,16.81,2380,2364,16.81,2508,2491,0.0611,9.051,8.989
5,0.0008726,0.001,147,21.02,2382,2361,21.02,2510,2489,0.07625,9.025,8.949
6,0.0009354,0.001,137.6,25.22,2383,2358,25.22,2512,2487,0.09134,8.999,8.908
7,0.001002,0.001,128.9,29.43,2385,2355,29.43,2514,2484,0.1064,8.974,8.868
8,0.001073,0.001,120.8,33.63,2386,2352,33.63,2516,2482,0.1213,8.949,8.828
9,0.001148,0.001,113.3,37.82,2387,2349,37.82,2517,2480,0.1362,8.924,8.788
10,0.001228,0.001,106.3,42.02,2389,2347,42.02,2519,2477,0.1511,8.9,8.749
11,0.001313,0.001,99.79,46.22,2390,2344,46.22,2521,2475,0.1659,8.875,8.71
12,0.001403,0.001001,93.72,50.41,2391,2341,50.41,2523,2473,0.1806,8.851,8.671
13,0.001498,0.001001,88.06,54.6,2393,2338,54.6,2525,2470,0.1953,8.827,8.632
14,0.001599,0.001001,82.79,58.79,2394,2335,58.79,2527,2468,0.2099,8.804,8.594
15,0.001706,0.001001,77.88,62.98,2395,2332,62.98,2528,2465,0.2245,8.78,8.556
16,0.001819,0.001001,73.29,67.17,2397,2330,67.17,2530,2463,0.239,8.757,8.518
17,0.001938,0.001001,69,71.36,2398,2327,71.36,2532,2461,0.2534,8.734,8.481
18,0.002065,0.001001,65,75.54,2400,2324,75.54,2534,2458,0.2678,8.711,8.443
19,0.002198,0.001002,61.26,79.73,2401,2321,79.73,2536,2456,0.2822,8.688,8.406
20,0.002339,0.001002,57.76,83.91,2402,2318,83.91,2537,2454,0.2965,8.666,8.37
21,0.002488,0.001002,54.48,88.1,2404,2316,88.1,2539,2451,0.3107,8.644,8.333
22,0.002645,0.001002,51.42,92.28,2405,2313,92.28,2541,2449,0.3249,8.622,8.297
23,0.002811,0.001003,48.55,96.46,2406,2310,96.46,2543,2446,0.3391,8.6,8.261
