"P (MPa)","T (°C)","V (m3/kg)","U (kJ/kg)","H (kJ/kg)","S [kJ/(kg K)]","Phase"
0.01,0,0.001,-0.04,-0.03,-0.00015,"liquid"
0.01,5,0.001,21.02,21.03,0.07625,"liquid"
0.01,10,0.001,42.02,42.03,0.1511,"liquid"
0.01,15,0.001001,62.98,62.99,0.2245,"liquid"
0.01,20,0.001002,83.91,83.92,0.2965,"liquid"
0.01,25,0.001003,104.8,104.8,0.3672,"liquid"
0.01,30,0.001004,125.7,125.7,0.4368,"liquid"
0.01,35,0.001006,146.6,146.6,0.5051,"liquid"
0.01,40,0.001008,167.5,167.5,0.5724,"liquid"
0.01,45,0.00101,188.4,188.4,0.6386,"liquid"
0.01,45.81,0.00101,191.8,191.8,0.6492,"saturated liquid"
0.01,45.81,14.67,2437,2584,8.149,"saturated vapor"
0.01,50,14.87,2443,2592,8.174,"vapor"
0.01,55,15.1,2451,2602,8.204,"vapor"
0.01,60,15.34,2458,2611,8.233,"vapor"
0.01,65,15.57,2465,2621,8.261,"vapor"
0.01,70,15.8,2472,2630,8.289,"vapor"
0.01,75,16.03,2479,2640,8.317,"vapor"
0.01,80,16.27,2487,2649,8.344,"vapor"
0.01,85,16.5,2494,2659,8.371,"vapor"
0.01,90,16.73,2501,2668,8.397,"vapor"
0.01,95,16.96,2508,2678,8.423,"vapor"
0.01,100,17.2,2516,2688,8.449,"vapor"
0.01,105,17.43,2523,2697,8.474,"vapor"
0.01,110,17.66,2530,2707,8.499,"vapor"
0.01,115,17.89,2537,2716,8.524,"vapor"
0.01,120,18.12,2544,2726,8.548,"vapor"
0.01,125,18.36,2552,2735,8.573,"vapor"
0.01,130,18.59,2559,2745,8.596,"vapor"
0.01,135,18.82,2566,2754,8.62,"vapor"
0.01,140,19.05,2573,2764,8.643,"vapor"
0.01,145,19.28,2581,2773,8.666,"vapor"
0.01,150,19.51,2588,2783,8.689,"vapor"
0.01,155,19.75,2595,2793,8.712,"vapor"
0.01,160,19.98,2603,2802,8.734,"vapor"
0.01,165,20.21,2610,2812,8.756,"vapor"
0.01,170,20.44,2617,2822,8.778,"vapor"
0.01,175,20.67,2625,2831,8.8,"vapor"
0.01,180,20.9,2632,2841,8.821,"vapor"
0.01,185,21.13,2639,2851,8.842,"vapor"
0.01,190,21.36,2647,2860,8.863,"vapor"
0.01,195,21.59,2654,2870,8.884,"vapor"
0.01,200,21.83,2661,2880,8.905,"vapor"
0.01,210,22.29,2676,2899,8.946,"vapor"
0.01,220,22.75,2691,2919,8.986,"vapor"
0.01,230,23.21,2706,2938,9.025,"vapor"
0.01,240,23.67,2721,2958,9.064,"vapor"
0.01,250,24.14,2736,2977,9.102,"vapor"
0.01,260,24.6,2751,2997,9.139,"vapor"
0.01,270,25.06,2766,3017,9.176,"vapor"
0.01,280,25.52,2782,3037,9.212,"vapor"
0.01,290,25.98,2797,3057,9.248,"vapor"
0.01,300,26.45,2812,3077,9.283,"vapor"
0.01,310,26.91,2828,3097,9.317,"vapor"
0.01,320,27.37,2843,3117,9.352,"vapor"
0.01,330,27.83,2859,3137,9.385,"vapor"
0.01,340,28.29,2874,3157,9.419,"vapor"
0.01,350,28.76,2890,3178,9.451,"vapor"
0.01,360,29.22,2906,3198,9.484,"vapor"
0.01,370,29.68,2922,3218,9.516,"vapor"
0.01,380,30.14,2937,3239,9.547,"vapor"
0.01,390,30.6,2953,3259,9.579,"vapor"
0.01,400,31.06,2969,3280,9.609,"vapor"
0.01,410,31.53,2985,3301,9.64,"vapor"
0.01,420,31.99,3002,3321,9.67,"vapor"
0.01,430,32.45,3018,3342,9.7,"vapor"
0.01,440,32.91,3034,3363,9.729,"vapor"
0.01,450,33.37,3050,3384,9.758,"vapor"
0.01,460,33.83,3067,3405,9.787,"vapor"
0.01,470,34.3,3083,3426,9.816,"vapor"
0.01,480,34.76,3100,3447,9.844,"vapor"
0.01,490,35.22,3116,3468,9.872,"vapor"
0.01,500,35.68,3133,3490,9.9,"vapor"
0.01,520,36.6,3166,3533,9.954,"vapor"
0.01,540,37.53,3200,3576,10.01,"vapor"
0.01,560,38.45,3234,3619,10.06,"vapor"
0.01,580,39.37,3269,3662,10.11,"vapor"
0.01,600,40.3,3303,3706,10.16,"vapor"
0.01,620,41.22,3338,3750,10.21,"vapor"
0.01,640,42.14,3373,3795,10.26,"vapor"
0.01,660,43.07,3409,3840,10.31,"vapor"
0.01,680,43.99,3445,3885,10.36,"vapor"
0.01,700,44.91,3481,3930,10.41,"vapor"
0.01,720,45.83,3517,3976,10.45,"vapor"
0.01,740,46.76,3554,4021,10.5,"vapor"
0.01,760,47.68,3591,4068,10.54,"vapor"
0.01,780,48.6,3628,4114,10.59,"vapor"
0.01,800,49.53,3665,4161,10.63,"vapor"
0.01,820,50.45,3703,4208,10.68,"vapor"
0.01,840,51.37,3741,4255,10.72,"vapor"
0.01,860,52.3,3779,4302,10.76,"vapor"
0.01,880,53.22,3818,4350,10.8,"vapor"
0.01,900,54.14,3857,4398,10.84,"vapor"
0.01,920,55.07,3896,4447,10.88,"vapor"
0.01,940,55.99,3935,4495,10.92,"vapor"
0.01,960,56.91,3975,4544,10.96,"vapor"
0.01,980,57.84,4015,4593,11,"vapor"
0.01,1000,58.76,4055,4643,11.04,"vapor"
0.01,1100,63.37,4260,4894,11.23,"vapor"
0.01,1200,67.99,4471,5151,11.41,"vapor"
0.01,1300,72.6,4687,5413,11.59,"vapor"
0.01,1400,77.22,4909,5681,11.75,"vapor"
0.01,1500,81.83,5136,5954,11.91,"vapor"
0.01,1600,86.45,5367,6231,12.06,"vapor"
0.01,1800,95.68,5840,6797,12.35,"vapor"
0.01,2000,104.9,6328,7377,12.62,"vapor"
0.02,0,0.001,-0.04,-0.02,0.00015,"liquid"
0.02,5,0.001001,21.02,21.04,0.07625,"liquid"
0.02,10,0.001,42.02,42.04,0.1511,"liquid"
0.02,15,0.001001,62.98,63,0.2245,"liquid"
